POINT_ID,NUTS0,TH_LAT,TH_LONG
27721936,PT,38.861017177,-7.919275727
27782284,PT,41.919712011,-8.75063462
27802290,ES,41.976494226,-8.743701637
27922230,PT,41.479367024,-8.43996296
27922410,ES,43.048739738,-8.939605836
28021912,PT,38.712869707,-7.525104797
28101854,PT,38.218671545,-7.300388487
28101898,PT,38.606173437,-7.402510981
28122020,PT,39.682938787,-7.671810213
28141974,PT,39.282967649,-7.537642753
28162236,PT,41.584049366,-8.175599379
28282104,PT,40.453669527,-7.696563769
28462158,PT,40.964953787,-7.624394478
28502054,PT,40.060383311,-7.321010332
28522268,ES,41.94107921,-7.837662302
28682036,PT,39.938820603,-7.071886079
28742340,ES,42.617585205,-7.767835052
28742452,ES,43.595962442,-8.073167366
28762292,ES,42.201809477,-7.617404297
28902304,ES,42.336162182,-7.482950013
28902346,ES,42.703816118,-7.593197457
28942306,ES,42.362004212,-7.440723215
28962280,ES,42.138366244,-7.349852949
29001862,ES,38.467915735,-6.312725995
29002338,ES,42.654701528,-7.452931812
29022196,PT,41.413831715,-7.06735985
29082414,ES,43.336417486,-7.55888963
29202358,ES,42.871272651,-7.266460014
29222176,PT,41.278397794,-6.784619099
29222204,PT,41.524451628,-6.852970121
29242394,ES,43.194761587,-7.313004333
29262336,ES,42.690836445,-7.137705641
29262390,ES,43.163875233,-7.278408138
29381994,ES,39.706671216,-6.175260267
29462254,ES,42.011644844,-6.693554521
29522264,ES,42.111416634,-6.647256592
29642098,ES,40.673855381,-6.112117774
29781800,ES,38.064700255,-5.309770533
29982126,ES,40.9852417,-5.781036398
30022144,ES,41.151536561,-5.775253314
30082172,ES,41.40974345,-5.768964895
30162180,ES,41.495276913,-5.693400349
30182010,ES,39.997334509,-5.294469939
30182268,ES,42.274573685,-5.874198067
30202126,ES,41.026195644,-5.524663485
30282102,ES,40.828922073,-5.378354539
30282134,ES,41.111571279,-5.449143641
30302194,ES,41.644819812,-5.560716017
30322070,ES,40.553377725,-5.262113177
30361984,ES,39.799577783,-5.033089771
30362262,ES,42.255557497,-5.646194094
30381990,ES,39.856278253,-5.022715737
30382400,ES,43.474122139,-5.951994346
30402190,ES,41.627986725,-5.433925302
30423440,IE,52.543696523,-9.106098207
30442186,ES,41.600022454,-5.377838849
30443528,IE,53.307038242,-9.424018624
30462066,ES,40.543248736,-5.09135271
30501926,ES,39.310267067,-4.753987568
30502142,ES,41.222365466,-5.209657782
30502260,ES,42.263917403,-5.475114544
30522160,ES,41.385011664,-5.225901733
30542250,ES,42.183094055,-5.404630786
30602144,ES,41.258075765,-5.096964888
30603550,IE,53.534606103,-9.279291999
30622096,ES,40.837222057,-4.96981272
30682152,ES,41.343129249,-5.020649363
30742392,ES,43.471468645,-5.496152364
30921856,ES,38.760509186,-4.1401297
30942240,ES,42.167145591,-4.906824713
30982178,ES,41.626168318,-4.724181032
31002074,ES,40.70898677,-4.48153602
31182116,ES,41.111981492,-4.358406655
31241954,ES,39.684809917,-3.964636552
31341998,ES,40.092212213,-3.935288257
31342280,ES,42.590904614,-4.51737985
31402008,ES,40.190935071,-3.885595608
31422184,ES,41.755167389,-4.217410706
31442278,ES,42.590490448,-4.393241911
31482352,ES,43.251506026,-4.507168455
31561942,ES,39.630408,-3.575179581
31582106,ES,41.090531424,-3.86987493
31601954,ES,39.743579288,-3.551891943
31622196,ES,41.895126803,-4.005515024
31682224,ES,42.153210196,-3.992192094
31702244,ES,42.333696334,-4.010006871
31782238,ES,42.293883246,-3.902030557
31782306,ES,42.895991715,-4.044793249
31801848,ES,38.831351548,-3.129901501
31802242,ES,42.332638392,-3.886439319
31882034,ES,40.499728982,-3.379884848
31882250,ES,42.416747628,-3.807373481
31922054,ES,40.683874163,-3.371402643
31962040,ES,40.565762152,-3.298305043
31962052,ES,40.672446798,-3.321026028
32001990,ES,40.12729137,-3.158565782
32003588,UK,54.17916085,-7.358036078
32041894,ES,39.278468979,-2.938850401
32042038,ES,40.560583515,-3.201545141
32043632,UK,54.569830878,-7.462780331
32101956,ES,39.840117871,-2.981185017
32143664,UK,54.869191995,-7.433095899
32182266,ES,42.607475577,-3.480635467
32302088,ES,41.045780418,-2.991739169
32303604,IE,54.381768398,-6.967758336
32322358,ES,43.445436244,-3.500200013
32342152,ES,41.620929573,-3.065656004
32401964,ES,39.957051336,-2.650042804
32402336,ES,43.263356556,-3.357599234
32442278,ES,42.755367337,-3.192171588
32462114,ES,41.301646929,-2.852404278
32462928,FR,48.499579643,-4.651008047
32482188,ES,41.962547037,-2.968540631
32503682,UK,55.102153679,-6.952994708
32521974,ES,40.064132821,-2.529198498
32562928,FR,48.517288656,-4.51786086
32603634,UK,54.705137847,-6.624347875
32702290,ES,42.902447865,-2.902366938
32702916,FR,48.436189343,-4.300663452
32761750,ES,38.098019899,-1.882800546
32761804,ES,38.5811406,-1.968942122
32781754,ES,38.136630652,-1.86665506
32783684,UK,55.177589005,-6.531957606
32823584,UK,54.313715098,-6.115473141
32862214,ES,42.251573472,-2.564741205
32941918,ES,39.625498652,-1.950043712
33022296,ES,43.004432745,-2.527097845
33083290,UK,51.790337284,-4.79883521
33102208,ES,42.233804665,-2.266740509
33121802,ES,38.613399249,-1.558574806
33142172,ES,41.919201453,-2.153898067
