# This file is automatically generated by the 'radon2config' program. It defines FMI parameters used
# in the Radon database.
#
# Do not edit this file, because all changes will be overridden.
#
# FIELDS:
# 1) FmiParameterId
# 2) FmiParameterName
# 3) FmiParameterUnits
# 4) FmiParameterDescription
# 5) AreaInterpolationMethod
# 6) TimeInterpolationMethod
# 7) LevelInterpolationMethod
# 8) DefaultPrecision
#
1;MINT2M-C;C;Minimum temperature at 2m since previous post-processing;1;1;1;;
2;PRECFORM-N;JustAnumber;Precipitation form;2;2;2;;
3;TROAD-C;C;Road temperature in C;1;1;1;;
4;CONDROAD-N;JustAnumber;Road condition;1;1;1;;
5;PROBDRY;%;Probability of dry road;1;1;1;;
6;PROBWET;%;Probability of wet road;1;1;1;;
7;PROBMST;%;Probability of moist road;1;1;1;;
8;PROBSNY;%;Probability of snowy road;1;1;1;;
9;PROBFRY;%;Probability of frosty road;1;1;1;;
10;PROBICY;%;Probability of icy road;1;1;1;;
11;PRECTYPE-N;JustAnumber;Precipitation type, large scale or convective;2;2;2;;
12;RR-5D-MM;mm;Precipitation over 5 days in mm;1;1;1;;
13;GROWDEV-D;day;Growth period deviation from normal in days;1;1;1;;
14;LSSN-M100;cm;Loose snow depth in cm;1;1;1;;
15;GROWDEV-PCT;%;Growth period deviation from normal in percent;1;1;1;;
16;GPPREC-KGM2;kg m-2;Growth period precipitation in kgm-2;1;1;1;;
17;EFFTS-C;C;Effective temperature sum;1;1;1;;
18;TOZONE-KGM2;kg m-2;Total ozone in kg/m**2;1;1;1;;
19;ROADIDX-N;JustAnumber;Road Condition Index;1;1;1;;
20;NLM-PRCNT;%;Low and middle cloud cover;1;1;1;;
21;CONDROAD2-N;JustAnumber;Road condition, sensor 2;1;1;1;;
24;ICNCT-PRCNT;%;Ice concentration;1;1;1;;
25;ITHK-CM;cm;Ice thickness;1;1;1;;
26;IMINTHK-CM;cm;Ice minimum thickness;1;1;1;;
27;IMAXTHK-CM;cm;Ice maximum thickness;1;1;1;;
28;IRIDGE-PRCNT;%;Ice degree of ridging;1;1;1;;
29;DRAG-N;JustAnumber;Coefficient of drag;1;1;1;;
30;H0C-HPA;hPa;Height of 0 C level in hPa;1;1;1;;
31;RADTSTLW;W m-2;Testiparametri LW;1;1;1;;
32;RADTSTSW;W m-2;Testiparametri SW;1;1;1;;
33;QOL-KGKG;kg kg-1;Specific Humidity over land in kg/kg;1;1;1;;
34;TOL-K;K;Temperature over land in Kelvins;1;1;1;;
35;GRFROST-M3M3;0to1;Ground frost in volumetric proportion;1;1;1;;
36;PROB-WG-1;%;Probability of reaching wind gust speed of 15 m/s in EPS;1;1;1;;
37;PROB-WG-2;%;Probability of reaching wind gust speed of 20 m/s in EPS;1;1;1;;
38;PROB-WG-3;%;Probability of reaching wind gust speed of 25 m/s in EPS;1;1;1;;
39;RTOPLW-WM2;W m-2;Net long wave radiation, top of athmosphere;1;1;1;;
40;RTOPSW-WM2;W m-2;Net short wave radiation, top of athmosphere;1;1;1;;
41;ROADMMT-S;s;Time to next Road Maintenance Measure;1;1;1;;
42;ROADMM-N;JustAnumber;Road Maintenance Measure Code;1;1;1;;
43;FD-MM;mm;Water equivalent of frost cover in mm;1;1;1;;
44;SD-KGM2;kg m-2;Water equivalent of snow cover in mm;1;1;1;;
45;PREC7D-KGM2;kg m-2;Seven days¿ precipitation in kgm-2;1;1;1;;
46;PREC10-KGM2;kg m-2;Ten days precipitation in kgm-2;1;1;1;;
47;PREC30-KGM2;kg m-2;Thirty days precipitation in kgm-2;1;1;1;;
48;PGR-PA;kg m-1 s-2;Pressure on ground;1;1;1;;
49;TOTCWV-KGM2;kg m-2;Total column water vapour;1;1;1;;
50;MAXT-K;K;Maximum temperature on ambiguous level;1;1;1;;
51;MINT-K;K;Minimum temperature on ambiguous level;1;1;1;;
52;CLDICE-KGKG;kg kg-1;Cloud ice;1;1;1;;
53;TCLDTOP-K;K;Cloud top temperature;1;1;1;;
54;TWVRAD-K;K;Water vapour radiation temperature;1;1;1;;
55;TWVRCL-K;K;Water vapour radiation temperature including clouds;1;1;1;;
56;REFLTY-N;0to1;Reflectivity (pseudo visible);1;1;1;;
57;MAXWS-MS;m;Maximum wind speed;1;1;1;;
58;MINWS-MS;m;Minimum wind speed;1;1;1;;
59;RHAVE-PRCNT;%;Relative humidity, land fraction average;1;1;1;;
60;TDAVE-K;K;Dew point temperature, land fraction average;1;1;1;;
62;LNB-M;m;Level of neutral buoyancy (lnb);1;1;1;;
63;CIN-JKG;J kg-1;Convective inhibition (cin);1;1;1;;
65;N-STDDEV-PRCNT;%;Standard Deviation of total cloudiness;1;1;1;;
66;TDPS;W m-2;tendance barometrique;1;1;1;;
67;T-NH-K;K;Temperature of high cloud cover;1;1;1;;
68;NH-STDDEV-PRCNT;%;Standard Deviation of high cloud cover;1;1;1;;
69;T-NLM-K;%;Temperature of low and middle cloud cover;1;1;1;;
70;TMAX;K;temperature maximale;1;1;1;;
71;TMIN;K;temperature minimale;1;1;1;;
72;NLMDEV-PRCNT;%;Standard Deviation of low and middle cloud cover;1;1;1;;
73;FOG-PRCNT;%;Percentage of fog in a grid cell;1;1;1;;
74;FL-PRCNT;%;Percentage of land in a grid cell;1;1;1;;
75;FSEA-PRCNT;%;Percentage of land in a grid cell;1;1;1;;
76;FSNO-PRCNT;%;Percentage of snow in a grid cell;1;1;1;;
77;FSG-PRCNT;%;Percentage of sun glint in a grid cell;1;1;1;;
78;T-H1-C;C; Temperature in Celsius, height 1;1;1;1;;
79;T-H2-C;C; Temperature in Celsius, height 2;1;1;1;;
80;T-H3-C;C; Temperature in Celsius, height 3;1;1;1;;
81;T-H4-C;C; Temperature in Celsius, height 4;1;1;1;;
82;T-H5-C;C; Temperature in Celsius, height 5;1;1;1;;
83;T-H6-C;C; Temperature in Celsius, height 6;1;1;1;;
84;T-H7-C;C; Temperature in Celsius, height 7;1;1;1;;
85;T-H8-C;C; Temperature in Celsius, height 8;1;1;1;;
86;RH-H2-PRCNT;%; Relative Humidity in percents, height 2;1;1;1;;
87;RH-H3-PRCNT;%; Relative Humidity in percents height 3;1;1;1;;
88;FLLAT-JM2;kg s-2;Latent heat flux;1;1;1;;
89;FLSEN-JM2;kg s-2;Sensible heat flux;1;1;1;;
90;RH-H4-PRCNT;%; Relative Humidity in percents, height 4;1;1;1;;
91;FF-H1-MS;m s-1; Wind speed in m/s, height 1;1;1;1;;
92;FF-H2-MS;m s-1; Wind speed in m/s, height 2;1;1;1;;
93;FF-H3-MS;m s-1; Wind speed in m/s, height 3;1;1;1;;
94;FF-H4-MS;m s-1; Wind speed in m/s, height 4;1;1;1;;
95;DD-H1-D;Deg; Wind Direction in Degrees, height 1;1;1;1;;
96;DD-H2-D;Deg; Wind Direction in Degrees, height 2;1;1;1;;
97;DD-H3-D;Deg; Wind Direction in Degrees, height 3;1;1;1;;
98;DD-H4-D;Deg; Wind Direction in Degrees, height 4;1;1;1;;
99;FX-H1-MS;m s-1; Maximum Wind Speed in m/s, height 1;1;1;1;;
100;FX-H2-MS;m s-1; Maximum Wind Speed in m/s, height 2;1;1;1;;
101;FX-H3-MS;m s-1; Maximum Wind Speed in m/s, height 3;1;1;1;;
103;FX-H4-MS;m s-1; Maximum Wind Speed in m/s, height 4;1;1;1;;
104;P-H1-HPA;hPa;Pressure in hPa , height 1;1;1;1;;
105;RH-H1-PRCNT;%; Relative Humidity in percents, height 1;1;1;1;;
106;WW1METAR-N;No Unit; for metars;1;1;1;;
107;WW2METAR-N;No Unit; for metars;1;1;1;;
108;WW3METAR-N;No Unit; for metars;1;1;1;;
109;ISCB1-N;0_1; for metars;1;1;1;;
110;ISCB2-N;0_1; for metars;1;1;1;;
111;ISCB3-N;0_1; for metars;1;1;1;;
112;ISCB4-N;0_1; for metars;1;1;1;;
113;VVERT-M;m; for metars;1;1;1;;
114;FL-LEN-M;m;Length of flash ellipse axle;1;1;1;;
115;FL-WID-M;m;Width of flash ellipse axle;1;1;1;;
116;FL-DIR-D;Deg;Direction of flash ellipse;1;1;1;;
117;FL-DUR-MS;ms;Flash duration in milliseconds;1;1;1;;
118;FFWARN-N;No Unit;Forest fire warning: 0-no, 1-grass, 2-forest1;2;2;2;;
119;CONCENTAIR;unitpolluant m-3;concentration dans l'air de polluant ;1;1;1;;
120;RAIN12;kg m-2;Total Precipitation over the last 12 hours;1;1;1;;
121;RAIN_6;kg m-2;Total Precipitation over the last 6 hours;1;1;1;;
122;TMAX-C;C;Maximum Temperature in Celsius;1;1;1;;
123;TMIN-C;C;Minimum Temperature in Celsius;1;1;1;;
124;TG-C;C;Ground Temperature in Celcius;1;1;1;;
125;TANM-C;C;Temperature Anomaly in Celsius;1;1;1;;
126;WWTAF-N;No Unit;TAF Weather Symbol;1;1;1;;
127;CB-PRCNT;%;CB Cloud cover in %;1;1;1;;
129;CL2-PRCNT;%;2. Cloud Cover in %;1;1;1;;
130;HAKECODE-N;JustAnumber;Emergency center task code;1;1;1;;
131;CL3-PRCNT;%;3. Cloud Cover in %;1;1;1;;
132;FRVEL-MS;m;Friction velocity;1;1;1;;
133;CL4-PRCNT;%;4. Cloud Cover in %;1;1;1;;
134;CL1-PRCNT;%;1. Cloud Cover in %;1;1;1;;
135;RDIFSW-WM2;W m-2;Diffuse shortwave radiation;1;1;1;;
136;CB-M;m;CB Cloud Height in Meters;1;1;1;;
137;ALBEDO-0TO1;0to1;ALBEDO 0 to 1;1;1;1;;
138;Q-KGKG;kg kg-1;Specific Humidity in kg/kg;1;1;1;;
139;P-PA;kg m-1 s-2;Pressure in Pascals;1;1;1;;
143;LC-0TO1;0to1;Land Cover, 1=land, 0=sea;1;1;1;;
144;VV-HPAS;hPa s-1;Vertical Velocity in hPa/s;1;1;1;;
145;PTD-N;No Unit;Pressure Tendency);1;1;1;;
146;SR-M;m;Surface Roughness in Meters;1;1;1;;
147;SM-KGM2;kg m-2;Soil Moisture Content in Kg per square meter;1;1;1;;
148;IC-0TO1;0to1;Ice Cover, 1=ice, 0=no ice;1;1;1;;
149;FC-0TO1;0to1;Forest Cover, 1=Forest, 0=No Forest;1;1;1;;
